column_name,column_comment
user_id,用户客户号
cus_level,客户分层
client_id,客户号
client_id,客户号
act_id,活动ID
id,自增id
system_channel_name,渠道
client_id,客户号
system_channel_name,渠道
client_id,客户号
client_id,客户号
sys,系统名
user_id,用户号
breakpoint_task_id,任务ID
user_id,客户ID
channel_flow,渠道分流（自然流natur；投流adv；安全险活动activity）
channel_flow,渠道分流（自然流natur；投流adv；安全险活动activity）
channel_own,渠道归属1-线上；0-线下
channel_name,渠道名称
system_channel,渠道代码
fund_account,资金账号
concat_name,姓名
concat_name,姓名
concat_name,姓名
concat_name,姓名
concat_name,姓名
client_id,客户号
concat_name,姓名
name,用户姓名
branch_no,营业部code
year,营业部code
branch_no,营业部code
day_date,日期(带-)
channel_no,渠道代码
product_type,产品类型
name,客户姓名
client_id,客户号
concat_name,姓名
branch_name,营业部名称
branch_no,营业部code
client_id,客户号
sole_code,订单号
targ_flag,目标切换标志
client_id,客户号
open_account,开户数
system_channel_name,渠道
sole_code,订单号
advisor_name,投顾名
mt,月份
advisor_name,投顾名
new_client,新开客户数
channel_own,渠道归属1-线上；0-线下
channel_own,渠道归属1-线上；0-线下
fare,净佣金
fare,净佣金
day,统计日期
zh_amount,组合销售额
ths_amount,同花顺销售额
client_id,客户号
biz_date,日期
biz_date,日期
mt_effective,当月新开有效户数
mt_balance,当月用户交易额
mt_balance,当月净存入(资金)
mt_fare,当月净佣金收入
mt_open,新开户
mt,
mt,月
client_id,客户号
total_balance,交易额
channel_no,渠道代码
month,月份
cust_flag,客群
client_id,客户号
advisor_name,投顾名
id,自增id
client_id,客户ID
month,月份
channel_mark,标识（线上/线下）
channel_name,渠道
channel_mark,标识（线上/线下）
day,统计日期
day,统计日期
day,统计日期
biz_date,数据日期
channel_own,渠道归属（1-线上；0-线下）
fund_account,资金账号
id,原自增主键
farex_commission,提佣金额
biz_date,数据日期
biz_date,数据日期
biz_date,数据日期
gp_balance,全客群股票佣金余额
sole_code,唯一代码
khh,客户号
khh,客户号
month,月份
client_id,客户号
channel_ce,渠道主体
channel_name,渠道
mt,年月
mt,年月
mt,年月
live_advisor,直播老师
book_origin,来源
client_id,客户ID
client_id,客户号
client_id,客户ID
book_origin,来源
book_origin,来源
flag,分类
flag,分类
user_id,用户ID
client_id,客户号
flag,分类
channel_name,渠道
flow_user,流量户
phone,手机号
year,年度
system_channel,渠道主体
channel_name,渠道
branch_name,营业部
branch_name,营业部
branch_name,营业部
channel_no,渠道代码
branch_name,营业部
mt,月
inputtime,创建时间
client_id,客户号
client_id,客户号
name,客户名称
client_id,客户ID
channel_name,渠道
phone,手机号
phone,手机号
client_id,客户号
biz_date,数据日期
fund_account,客户资金号
fund_account,客户ID
day,日期
client_id,中签客户号
cust_name,客户姓名
fund_account,资金账号
users,新增户数
day,日期
fund_account,资金账号
fund_account,资金账号
fund_account,资金账号
new_acc_num,新增户数
branch_no,机构号
client_id,客户号
branch_no,营业部no
client_id,客户号
mt,月份
mt,月
cust_name,客户姓名
cycle_date,周期日期
fund_account,客户资金账号
exchange_type,交易类型
phone,手机号
identifier,标识
channel_name,渠道名称
fund_account,资金账号
mt,月份
reg_day,注册日期
open_date,开户日期
cust_cnt,客户总数
system_channel_name,渠道
name,组合名称
month,日期
ad_date,日期
channel_set,渠道集
day,日期
client_id,客户号
mt,日期
client_id,客户号
branch_name,营业部
manager,客户经理
day,日期
day,日期
client_id,客户号
branch_no_name,营业部
customer_account,资金账号
branch_no_name,营业部
customer_account,资金账号
day,开户日期
day,开户日期
fund_account,资金账号
fund_account,资金账号
branch_no_name,营业部
fund_account,资金账号
client_id,客户号
branch_no,营业部编号
branch_no,营业部编号
branch_no,营业部编号
branch_no,营业部编号
mt,年月
branch_no,营业部编号
day,日期
sequence,子单序号
sequence,母单序号
channel_name,渠道
client_name,客户姓名
id_number,证件号码
mt,月份
mt,月份
mt,月份
mt,月份
cs_day,创收日期
cs_day,创收日期
cs_day,创收日期
cs_day,创收日期
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
data,票池日期
channel_name,渠道
fund_account,资金账号
client_id,客户号
emp_name,员工姓名
client_id,客户号
client_id,客户号
client_id,客户号
sole_code,订单号
client_id,客户号
client_id,客户号
branch_no,营业部代码
branch_no,营业部代码
branch_no,营业部代码
user_id,用户id
branch_no,营业机构
user_id,客户id
customer_name,客户姓名
customer_name,客户姓名
init_date,日期
doc_id,
bank_code,银行编号
coupon_receive_id,优惠券领取记录id
modle,模版
manager,理财经理姓名
modle,模版
remaining_service_day,订单剩余有效天数
class_id,分类ID
class_id,分类ID
class_id,Java类名，对应MongoDB的_class字段
live_advisor,直播老师
create_data,消息发送时间
client_id,客户id
date,日期，格式：YYYYMM
client_id,中签客户号
refund_days,退款天数
manager,理财经理
channel_own,渠道归属（1-线上；0-线下）
remark,备注
col_0,客户号
biz_date,数据日期
biz_date,数据日期
biz_date,数据日期
col_0,客户号
biz_date,数据日期
open_account,开户成功为1，失败是0
cus_num,户数
total_asset,总资产
total_asset,总资产
act_name,活动名称
cur_date,当前日期
branch_name,营业部名称
y_total_asset,年初总资产
branch_name,营业部名称
branch_no,营业部编码
total_asset,24年年初时点总资产
num_14h,14点同步数据量
register_date,注册日期
breakpoint_step,断点步骤
video_type,见证方式
open_account,开户户数
month,月份
open_account_quantity,开户数
channel_own,渠道归属1-线上；0-线下
system_channel_name,渠道名称
client_id,客户号
